set_number,Year,Pieces,Minifigs,retale_price,resale_price,Launch date,Exit date,Theme,years_in_retirement,total_price_increase,average_increase_per_year,percentage_increase_per_year,adjusted_value_new,total_price_increase_real,percentage_increase_per_year_real,average_increase_per_year_real,Subtheme
6037-1,1997,56.0,1.0,8.0,53.65,01/01/1997,1998-12-31,Castle,24,45.65,1.9020833333333333,3.5453557005281144,33.35535782791901,25.355357827919008,1.969195233606633,1.0564732428299586,Fright Knights
6087-1,1997,250.0,6.0,44.0,360.48,01/01/1997,1998-12-31,Castle,24,316.48,13.186666666666667,3.6580855156088177,224.11816197219466,180.11816197219466,2.0819250486873364,7.50492341550811,Fright Knights
6097-1,1997,601.0,8.0,80.0,419.98,01/01/1997,1998-12-31,Castle,24,339.98,14.165833333333333,3.37297807832119,261.1105905045559,181.1105905045559,1.7968176113997083,7.546274604356495,Fright Knights
6407-1,1997,24.0,1.0,5.5,11.87,01/05/1997,1998-12-31,Town,24,6.369999999999999,0.26541666666666663,2.2360292052794155,7.379834061834083,1.8798340618340834,0.6598687383579344,0.07832641924308681,Fire
6417-1,1997,36.0,1.0,4.0,39.66,01/01/1997,1997-12-31,Town,25,35.66,1.4264,3.5965708522440747,24.17399432515154,20.17399432515154,2.0346943343571904,0.8069597730060616,Paradisa
6441-1,1997,433.0,5.0,60.0,213.58,01/01/1997,1998-12-31,Town,24,153.58,6.399166666666667,2.9961450822486504,132.7872753939784,72.7872753939784,1.4199846153271685,3.032803141415767,Divers
6442-1,1997,147.0,3.0,20.0,138.72,01/01/1997,1998-12-31,Town,24,118.72,4.946666666666666,3.565936178392926,86.2452048068765,66.2452048068765,1.9897757114714443,2.7602168669531877,Divers
6486-1,1997,64.0,1.0,10.0,28.29,01/05/1997,1998-12-31,Town,24,18.29,0.7620833333333333,2.693825851301991,17.58850089378991,7.588500893789909,1.11766538438051,0.3161875372412462,Fire
6487-1,1997,67.0,1.0,6.0,23.99,01/01/1997,1998-12-31,Town,24,17.99,0.7495833333333333,3.124565791301931,14.915098495652877,8.915098495652877,1.5484053243804496,0.3714624373188699,Outback
6495-1,1997,81.0,1.0,10.0,34.38,01/01/1997,1998-12-31,Time Cruisers,24,24.380000000000003,1.0158333333333334,2.9547217374442507,21.374784755337476,11.374784755337476,1.3785612705227692,0.4739493648057282,Time Twisters
6496-1,1997,147.0,2.0,22.0,162.67,01/01/1997,1998-12-31,Time Cruisers,24,140.67,5.861249999999999,3.6031536239011497,101.13543444301182,79.13543444301182,2.026993156979668,3.2973097684588257,Time Twisters
6497-1,1997,300.0,4.0,38.5,140.14,01/01/1997,1998-12-31,Time Cruisers,24,101.63999999999999,4.234999999999999,3.021978021978022,87.12804931974965,48.62804931974965,1.4458175550565402,2.0261687216562354,Time Twisters
6548-1,1997,120.0,3.0,24.0,71.8,01/05/1997,1998-12-31,Town,24,47.8,1.9916666666666665,2.7739090064995353,44.63960283400903,20.639602834009033,1.1977485395780543,0.859983451417043,City
6550-1,1997,48.0,1.0,4.0,30.81,01/01/1997,1998-12-31,Town,24,26.81,1.1170833333333332,3.625716758628151,19.1552390433958,15.155239043395799,2.04955629170667,0.6314682934748249,Outback
6554-1,1997,250.0,4.0,44.0,95.0,01/05/1997,1998-12-31,Town,24,51.0,2.125,2.236842105263158,59.06354135419023,15.063541354190228,0.6606816383416766,0.6276475564245928,Fire
6555-1,1997,30.0,1.0,4.5,44.9,01/01/1997,1998-12-31,Town,24,40.4,1.6833333333333333,3.7490720118782477,27.915294808454117,23.415294808454117,2.172911544956767,0.9756372836855882,Divers
6556-1,1997,72.0,2.0,8.75,25.28,01/01/1997,1998-12-31,Town,24,16.53,0.6887500000000001,2.724485759493671,15.71711921509399,6.967119215093989,1.1483252925721896,0.29029663396224953,Divers
6558-1,1997,185.0,3.0,30.0,102.84,01/01/1997,1998-12-31,Town,24,72.84,3.035,2.9511863088292496,63.937837819630765,33.937837819630765,1.375025841907768,1.4140765758179485,Divers
6559-1,1997,344.0,5.0,44.0,210.0,01/01/1997,1998-12-31,Town,24,166.0,6.916666666666667,3.293650793650794,130.56151246715734,86.56151246715734,1.7174903267293125,3.606729686131556,Divers
6560-1,1997,464.0,7.0,79.0,396.59,01/01/1997,1998-12-31,Town,24,317.59,13.232916666666666,3.3366743152037786,246.5685249016663,167.5685249016663,1.7605138482822973,6.982021870902763,Divers
6564-1,1997,34.0,1.0,7.25,15.62,01/05/1997,1998-12-31,Town,24,8.37,0.34874999999999995,2.2327144686299616,9.71128964160475,2.4612896416047505,0.6565540017084802,0.1025537350668646,Maintenance
6565-1,1997,73.0,3.0,16.5,27.98,01/05/1997,1998-12-31,Town,24,11.48,0.47833333333333333,1.7095544436502266,17.39576723252887,0.8957672325288684,0.13339397672874498,0.037323634688702846,Construction
6566-1,1997,96.0,2.0,15.0,81.14,01/01/1997,1998-12-31,Town,24,66.14,2.7558333333333334,3.3963930654835264,50.44648153135784,35.44648153135784,1.820232598562045,1.4769367304732433,City
6718-1,1997,71.0,2.0,8.0,91.15,01/08/1997,1998-12-31,Western,24,83.15,3.4645833333333336,3.8009690985554947,56.669913625625675,48.669913625625675,2.224808631634013,2.0279130677344033,Indians
6746-1,1997,131.0,3.0,20.0,274.32,01/08/1997,1998-12-31,Western,24,254.32,10.596666666666666,3.8628851949061924,170.55063857138381,150.55063857138381,2.286724727984711,6.272943273807659,Indians
6748-1,1997,250.0,6.0,40.0,450.64,01/06/1997,1998-12-31,Western,24,410.64,17.11,3.7968222971773478,280.1725713247609,240.1725713247609,2.2206618302558665,10.007190471865037,Indians
6766-1,1997,343.0,7.0,60.0,399.98,01/08/1997,1998-12-31,Western,24,339.98,14.165833333333333,3.5416354151040887,248.67616074577901,188.67616074577901,1.9654749481826073,7.861506697740793,Indians
6799-1,1997,69.0,4.0,10.0,149.0,01/01/1997,1997-12-31,Western,25,139.0,5.56,3.731543624161074,90.82009970871356,80.82009970871356,2.1696671062741895,3.232803988348542,Cowboys
6818-1,1997,35.0,1.0,3.0,18.42,01/09/1997,1998-12-31,Space,24,15.420000000000002,0.6425000000000001,3.488056460369164,11.452109807833516,8.452109807833516,1.9118959934476825,0.35217124199306316,UFO
6829-1,1997,52.0,1.0,6.0,46.11,01/09/1997,1998-12-31,Space,24,40.11,1.67125,3.624484927347647,28.66757780886012,22.66757780886012,2.0483244604261657,0.944482408702505,UFO
6836-1,1997,40.0,1.0,4.0,30.0,01/09/1997,1998-12-31,Space,24,26.0,1.0833333333333333,3.611111111111111,18.651644638165333,14.651644638165333,2.0349506441896295,0.6104851932568889,UFO
6915-1,1997,236.0,2.0,30.0,284.74,01/09/1997,1998-12-31,Space,24,254.74,10.614166666666668,3.727669686965887,177.02897647570657,147.02897647570657,2.1515092200444053,6.126207353154441,UFO
6975-1,1997,369.0,4.0,60.0,559.63,01/09/1997,1998-12-31,Space,24,499.63,20.817916666666665,3.7199429384891207,347.93399629521554,287.93399629521554,2.1437824715676395,11.99724984563398,UFO
6979-1,1997,292.0,3.0,80.0,354.29,01/09/1997,1998-12-31,Space,24,274.29,11.42875,3.225817832848796,220.26970596185322,140.26970596185322,1.6496573659273148,5.844571081743884,UFO
6999-1,1997,114.0,1.0,20.0,168.31,01/08/1997,1997-12-31,Space,25,148.31,5.9324,3.5246865902204267,102.59014081861463,82.59014081861463,1.9628100723335424,3.3036056327445853,UFO
2536-1,1998,23.0,1.0,2.0,6.02,01/01/1998,1999-12-31,Town,23,4.02,0.17478260869565215,2.9033655929510327,3.8176186245396804,1.8176186245396804,1.3127391481580821,0.07902689671911654,Divers
2539-1,1998,21.0,1.0,2.0,20.65,01/01/1998,1999-12-31,Castle,23,18.65,0.8108695652173913,3.9267291293820406,13.09531970045588,11.09531970045588,2.3361026845890898,0.48240520436764694,Fright Knights
2879-1,1998,196.0,5.0,20.0,140.0,01/03/1998,1998-12-31,Adventurers,24,120.0,5.0,3.571428571428571,87.04100831143823,67.04100831143823,1.9952681045070904,2.7933753463099262,Desert
2962-1,1998,70.0,2.0,6.75,32.5,01/05/1998,1999-03-01,Town,23,25.75,1.1195652173913044,3.4448160535117056,20.610067325172697,13.860067325172697,1.8541896087187553,0.6026116228335955,Res-Q
2963-1,1998,84.0,1.0,6.0,17.53,01/05/1998,2000-12-31,Town,22,11.530000000000001,0.5240909090909092,2.9896800290411245,11.339088301984091,5.339088301984091,1.384402920184642,0.2426858319083678,Extreme Team
2964-1,1998,45.0,1.0,6.0,56.02,01/07/1998,1999-03-01,Space,23,50.02,2.174782608695652,3.882153889138972,35.52541450942075,29.52541450942075,2.291527444346021,1.2837136743226412,Insectoids
2965-1,1998,73.0,2.0,8.0,84.3,01/07/1998,1999-03-01,Space,23,76.3,3.317391304347826,3.9352210015988445,53.45934386190948,45.45934386190948,2.344594556805894,1.9764932113873688,Insectoids
2996-1,1998,81.0,2.0,8.0,70.0,01/01/1998,1998-12-31,Adventurers,24,62.0,2.5833333333333335,3.6904761904761902,43.52050415571912,35.52050415571912,2.1143157235547094,1.4800210064882966,Desert
3017-1,1998,25.0,1.0,2.0,21.0,20/04/1998,1999-12-31,Castle,23,19.0,0.8260869565217391,3.9337474120082816,13.31727427165005,11.31727427165005,2.343120967215331,0.49205540311521956,Ninja
3019-1,1998,22.0,1.0,2.0,19.74,20/04/1998,2001-12-31,Castle,21,17.74,0.8447619047619047,4.279442273363246,13.02397462309123,11.02397462309123,2.6593271151375575,0.5249511725281538,Ninja
3119-1,1998,168.0,3.0,96.0,359.28,01/10/1998,2000-09-01,Scala,22,263.28,11.967272727272727,3.33090423270784,232.39632887260944,136.39632887260944,1.7256271238513576,6.199833130573157,Dolls
3225-1,1998,281.0,3.0,66.0,295.0,15/09/1998,1998-12-31,Trains,24,229.0,9.541666666666666,3.234463276836158,183.4078389419591,117.40783894195911,1.6583028099146766,4.891993289248297,9V
5918-1,1998,35.0,1.0,4.0,65.0,01/01/1998,1999-12-31,Adventurers,23,61.0,2.652173913043478,4.080267558528428,41.22013465034539,37.22013465034539,2.4896411137354777,1.6182667239280606,Desert
5919-1,1998,164.0,3.0,20.0,292.97,01/03/1998,1998-12-31,Adventurers,24,272.97,11.373750000000001,3.882223435846674,182.1457443214433,162.1457443214433,2.3060629689251924,6.756072680060137,Desert
5928-1,1998,70.0,1.0,6.0,72.05,01/01/1998,1999-12-31,Adventurers,23,66.05,2.8717391304347823,3.9857586820746462,45.69093387011362,39.69093387011362,2.395132237281696,1.7256927769614616,Desert
5938-1,1998,77.0,3.0,8.0,64.27,01/01/1998,1999-12-31,Adventurers,23,56.269999999999996,2.446521739130435,3.8066309928900495,40.75720083042612,32.75720083042612,2.2160045480970987,1.4242261230620052,Desert
5958-1,1998,260.0,4.0,30.0,159.99,01/01/1998,1999-12-31,Adventurers,23,129.99,5.651739130434783,3.5325577413805753,101.45860527244245,71.45860527244245,1.9419312965876252,3.1068958814105416,Desert
5978-1,1998,347.0,7.0,50.0,406.26,01/01/1998,1999-12-31,Adventurers,23,356.26,15.489565217391304,3.8127222018882745,257.63218312383566,207.63218312383566,2.222095757095324,9.027486222775464,Desert
5988-1,1998,711.0,10.0,80.0,539.37,01/01/1998,1999-12-31,Adventurers,23,459.37,19.972608695652173,3.702951349843739,342.044677328566,262.044677328566,2.112324905050788,11.393246840372436,Desert
6033-1,1998,54.0,3.0,6.0,36.63,01/04/1998,1999-12-31,Castle,23,30.630000000000003,1.3317391304347828,3.635651461738418,23.229131265263874,17.229131265263874,2.0450250169454676,0.7490926637071249,Ninja
6045-1,1998,112.0,3.0,13.0,75.06,01/04/1998,1999-12-31,Castle,23,62.06,2.6982608695652175,3.5948053151681556,47.59974318238346,34.59974318238346,2.004178870375205,1.5043366601036288,Ninja
6083-2,1998,198.0,3.0,20.0,292.68,01/05/1998,1999-12-31,Castle,23,272.68,11.855652173913043,4.0507216666369565,185.60475399173984,165.60475399173984,2.4600952218440058,7.200206695293036,Ninja
6088-1,1998,277.0,4.0,30.0,200.0,01/05/1998,1999-12-31,Castle,23,170.0,7.391304347826087,3.6956521739130435,126.83118353952428,96.83118353952428,2.105025729120093,4.210051458240186,Ninja
6089-1,1998,409.0,5.0,50.0,172.0,01/04/1998,1999-12-31,Castle,23,122.0,5.304347826086956,3.083923154701719,109.07481784399087,59.07481784399087,1.4932967099087682,2.5684703410430814,Ninja
6093-1,1998,694.0,9.0,90.0,429.9,01/04/1998,1999-12-31,Castle,23,339.9,14.778260869565216,3.4376042962468523,272.6236290182074,182.6236290182074,1.8469778514539015,7.940157783400322,Ninja
6109-1,1998,79.0,1.0,10.0,34.99,01/01/1998,1998-12-31,Aquazone,24,24.990000000000002,1.04125,2.9758502429265508,21.75403486298017,11.75403486298017,1.3996897760050693,0.48975145262417374,Stingrays
6110-1,1998,25.0,1.0,4.0,21.28,01/01/1998,1999-12-31,Aquazone,23,17.28,0.751304347826087,3.5305655442955213,13.494837928605383,9.494837928605383,1.939939099502571,0.4128190403741471,Hydronauts
6140-1,1998,78.0,1.0,10.0,72.55,01/01/1998,1998-12-31,Aquazone,24,62.55,2.6062499999999997,3.5923501033769814,45.10589394996317,35.10589394996317,2.0161896364555,1.4627455812484653,Stingrays
6150-1,1998,104.0,1.0,20.0,50.0,01/01/1998,1999-12-31,Aquazone,23,30.0,1.3043478260869565,2.608695652173913,31.70779588488107,11.707795884881069,1.0180692073809625,0.5090346036904813,Hydronauts
6160-1,1998,301.0,3.0,35.0,167.74,01/01/1998,1999-12-31,Aquazone,23,132.74,5.771304347826088,3.4406249837999807,106.37331363459901,71.37331363459901,1.84999853900703,3.103187549330392,Stingrays
6180-1,1998,297.0,4.0,50.0,332.5,01/01/1998,1998-12-31,Aquazone,24,282.5,11.770833333333334,3.540100250626567,206.7223947396658,156.7223947396658,1.963939783705085,6.530099780819408,Hydronauts
6198-1,1998,408.0,4.0,70.0,435.81,01/04/1998,1998-12-31,Aquazone,24,365.81,15.242083333333333,3.4974147755520373,270.95244165862783,200.95244165862783,1.921254308630556,8.373018402442826,Stingrays
6199-1,1998,482.0,5.0,90.0,330.74,01/04/1998,1998-12-31,Aquazone,24,240.74,10.030833333333334,3.03284553828788,205.62816492089343,115.62816492089343,1.4566850713663984,4.817840205037226,Hydronauts
6324-1,1998,17.0,1.0,3.0,14.21,01/04/1998,1999-12-31,Town,23,11.21,0.4873913043478261,3.4299176942141174,9.0113555904832,6.0113555904832,1.839291249421167,0.2613632865427478,Police
6325-1,1998,28.0,1.0,4.75,20.0,01/04/1998,1999-12-31,Town,23,15.25,0.6630434782608695,3.3152173913043477,12.683118353952427,7.933118353952427,1.7245909465113969,0.3449181893022794,Vehicles
6327-1,1998,48.0,2.0,10.0,12.8,01/04/1998,1999-12-31,Town,23,2.8000000000000007,0.12173913043478264,0.9510869565217395,8.117195746529553,-1.8828042534704466,-0.6395394882712114,-0.08186105449871507,Vehicles
6328-1,1998,102.0,2.0,15.0,42.09,01/04/1998,1999-12-31,Town,23,27.090000000000003,1.1778260869565218,2.7983513588893363,26.691622575892886,11.691622575892886,1.2077249140963862,0.5083314163431689,Police
6329-1,1998,137.0,3.0,25.0,79.75,01/04/1998,1999-12-31,Town,23,54.75,2.380434782608696,2.984871200763255,50.57393443638531,25.573934436385308,1.3942447559703042,1.1119101928863178,City
6330-1,1998,242.0,5.0,49.75,95.0,01/01/1998,1999-12-31,Town,23,45.25,1.9673913043478262,2.0709382151029745,60.24481218127403,10.494812181274028,0.48031177031002414,0.45629618179452297,City
6332-1,1998,272.0,7.0,60.0,174.76,01/01/1998,2001-12-31,Town,21,114.75999999999999,5.464761904761905,3.1270095586872877,115.30242173918052,55.30242173918052,1.5068944004615996,2.633448654246691,Police
6422-1,1998,43.0,1.0,8.75,21.69,01/01/1998,1999-12-31,Town,23,12.940000000000001,0.562608695652174,2.593862128410207,13.754841854861409,5.004841854861409,1.0032356836172567,0.217601819776583,Maintenance
6424-1,1998,101.0,3.0,20.0,21.48,01/01/1998,1999-12-31,Town,23,1.4800000000000004,0.06434782608695654,0.29957088494858725,13.621669112144907,-6.378330887855093,-1.2910555598443632,-0.27731873425456927,Vehicles
6426-1,1998,137.0,4.0,30.0,62.0,01/04/1998,1998-12-31,Town,24,32.0,1.3333333333333333,2.150537634408602,38.54673225220836,8.546732252208358,0.5743771674871209,0.3561138438420149,City
6431-1,1998,48.0,1.0,4.0,15.12,01/04/1998,1998-12-31,Town,24,11.12,0.4633333333333333,3.064373897707231,9.400428897635328,5.400428897635328,1.4882134307857495,0.2250178707348053,Res-Q
6445-1,1998,101.0,1.0,8.0,46.77,01/04/1998,1999-12-31,Town,23,38.77,1.6856521739130437,3.6041312249583997,29.659472270717753,21.659472270717753,2.013504780165449,0.9417161856833806,Res-Q
6451-1,1998,153.0,3.0,20.0,75.0,01/04/1998,1999-12-31,Town,23,55.0,2.391304347826087,3.1884057971014492,47.561693827321605,27.561693827321605,1.5977793523084989,1.1983345142313742,Res-Q
6462-1,1998,194.0,3.0,25.0,50.0,01/04/1998,1999-12-31,Town,23,25.0,1.0869565217391304,2.1739130434782608,31.70779588488107,6.707795884881069,0.5832865986853103,0.29164329934265515,Res-Q
6473-1,1998,305.0,3.0,35.0,145.0,01/04/1998,1999-12-31,Town,23,110.0,4.782608695652174,3.2983508245877062,91.95260806615511,56.95260806615511,1.7077243797947559,2.476200350702396,Res-Q
6479-1,1998,423.0,5.0,60.0,249.95,01/04/1998,1999-12-31,Town,23,189.95,8.258695652173913,3.3041390886873026,158.50727162852047,98.50727162852047,1.7135126438943526,4.282924853413934,Res-Q
6567-1,1998,29.0,1.0,3.0,13.0,01/01/1998,1999-12-31,Town,23,10.0,0.43478260869565216,3.344481605351171,8.244026930069078,5.244026930069078,1.75385516055822,0.2280011708725686,Extreme Team
6568-1,1998,292.0,4.0,30.0,45.0,01/04/1998,1999-12-31,Town,23,15.0,0.6521739130434783,1.4492753623188404,28.537016296392963,-1.462983703607037,-0.14135108247410985,-0.06360798711334943,Extreme Team
6572-1,1998,52.0,2.0,6.0,17.32,01/04/1998,1999-12-31,Town,23,11.32,0.4921739130434783,2.8416507681494125,10.983580494522803,4.983580494522803,1.2510243233564622,0.21667741280533925,Extreme Team
6580-1,1998,109.0,2.0,12.0,55.0,01/04/1998,1999-12-31,Town,23,43.0,1.8695652173913044,3.3992094861660083,34.878575473369175,22.878575473369175,1.8085830413730573,0.9947206727551815,Extreme Team
6584-1,1998,350.0,4.0,50.0,105.0,01/01/1998,1999-12-31,Town,23,55.0,2.391304347826087,2.277432712215321,66.58637135825025,16.586371358250247,0.6868062674223705,0.721146580793489,Extreme Team
6585-1,1998,19.0,1.0,2.5,10.7,01/04/1998,1999-12-31,Town,23,8.2,0.3565217391304348,3.331978870377895,6.785468319364548,4.285468319364548,1.7413524255849446,0.18632470953758903,Extreme Team
6837-1,1998,58.0,1.0,8.0,37.51,01/06/1998,1999-12-31,Space,23,29.509999999999998,1.2830434782608695,3.4205371321270848,23.787188472837776,15.787188472837776,1.8299106873341344,0.6863994988190337,Insectoids
6903-1,1998,25.0,1.0,3.0,18.49,01/06/1998,1999-12-31,Space,23,15.489999999999998,0.6734782608695652,3.6423918922096545,11.725542918229019,8.725542918229019,2.0517654474167046,0.3793714312273487,Insectoids
6907-1,1998,96.0,1.0,22.0,40.03,01/07/1998,1999-12-31,Space,23,18.03,0.783913043478261,1.958313873290684,25.385261385435786,3.3852613854357863,0.36768742849773395,0.14718527762764289,Insectoids
6919-1,1998,250.0,2.0,35.0,77.19,01/06/1998,1999-12-31,Space,23,42.19,1.8343478260869563,2.3764060449371116,48.95049528707939,13.950495287079391,0.785779600144161,0.6065432733512779,Insectoids
6969-1,1998,252.0,3.0,50.0,140.8,01/06/1998,1999-12-31,Space,23,90.80000000000001,3.947826086956522,2.8038537549407114,89.2891532118251,39.289153211825095,1.2132273101477609,1.7082240526880477,Insectoids
6977-1,1998,437.0,4.0,80.0,180.7,01/06/1998,1999-12-31,Space,23,100.69999999999999,4.378260869565217,2.4229445874738333,114.59197432796017,34.59197432796017,0.832318142680883,1.5039988838243554,Insectoids
8245-1,1998,222.0,1.0,30.0,43.9,01/01/1998,1999-12-31,Technic,23,13.899999999999999,0.6043478260869565,1.3766465286718825,27.83944478692558,-2.1605552130744208,-0.21397991612106773,-0.09393718317714873,Competition
8266-1,1998,366.0,2.0,70.0,50.38,01/01/1998,1999-12-31,Technic,23,-19.619999999999997,-0.8530434782608695,-1.6932184959524996,31.948775133606166,-38.05122486639384,-3.2838449407454506,-1.6544010811475582,Competition
1070-1,1999,20.0,1.0,3.0,10.0,01/01/1999,1999-12-31,Town,23,7.0,0.30434782608695654,3.0434782608695654,6.341559176976213,3.3415591769762134,1.4528518160766144,0.14528518160766146,Extreme Team
1095-1,1999,24.0,1.0,3.0,10.0,01/01/1999,1999-12-31,Aquazone,23,7.0,0.30434782608695654,3.0434782608695654,6.341559176976213,3.3415591769762134,1.4528518160766144,0.14528518160766146,Hydronauts
1097-1,1999,18.0,1.0,2.0,7.97,01/01/1999,1999-12-31,Town,23,5.97,0.25956521739130434,3.2567781353990504,5.054222664050042,3.054222664050042,1.6661516906061002,0.13279228974130616,Res-Q
